productid,productName,subCategory,size,finalPrice,image_url,comb,available
1501,Red Label Natural Care,Tea & Coffee,500 gm,325,http://143.110.186.55:8080/vf-api/android/productImage/Red Label Natural Care/jpg,red label natural care tea & coffee,yes
1502,Red Label Natural Care,Tea & Coffee,250 gm,165,http://143.110.186.55:8080/vf-api/android/productImage/Red Label Natural Care/jpg,red label natural care tea & coffee,yes
1503,Red Label 100gm,Tea & Coffee,100 gm,40,http://143.110.186.55:8080/vf-api/android/productImage/Red Label/jpg,red label 100gm tea & coffee,yes
1504,Red Label 500gm,Tea & Coffee,500 gm,285,http://143.110.186.55:8080/vf-api/android/productImage/Red Label/jpg,red label 500gm tea & coffee,yes
1505,Red Label 250gm,Tea & Coffee,250 gm,145,http://143.110.186.55:8080/vf-api/android/productImage/Red Label/jpg,red label 250gm tea & coffee,yes
1506,Tajmahal Tea 250gm,Tea & Coffee,250 gm,200,http://143.110.186.55:8080/vf-api/android/productImage/Tajmahal/jpg,tajmahal tea 250gm tea & coffee,yes
1507,Tajmahal,Tea & Coffee,500 gm,385,http://143.110.186.55:8080/vf-api/android/productImage/Tajmahal/jpg,tajmahal tea & coffee,yes
1508,Wagh Bakri Tea ,Tea & Coffee,250 gm,135,http://143.110.186.55:8080/vf-api/android/productImage/Wagh Bakri/jpg,wagh bakri tea  tea & coffee,yes
1509,Society tea,Tea & Coffee,250 gm,135,http://143.110.186.55:8080/vf-api/android/productImage/Society/jfif,society tea tea & coffee,yes
1510,Wagh Bakri Tea ,Tea & Coffee,500 gm,270,http://143.110.186.55:8080/vf-api/android/productImage/Wagh Bakri/jpg,wagh bakri tea  tea & coffee,yes
1511,Lipton green tea,Tea & Coffee,100 gm,150,http://143.110.186.55:8080/vf-api/android/productImage/Lipton green tea/jpg,lipton green tea tea & coffee,yes
1512,Nescafe Classic Coffee,Tea & Coffee,50 gm,165,http://143.110.186.55:8080/vf-api/android/productImage/Nescafe Classic/jpg,nescafe classic coffee tea & coffee,yes
1513,Nescafe Classic Coffee,Tea & Coffee,25 gm,80,http://143.110.186.55:8080/vf-api/android/productImage/Nescafe Classic/jpg,nescafe classic coffee tea & coffee,yes
1514,Bru Instant,Tea & Coffee,50 gm,60,http://143.110.186.55:8080/vf-api/android/productImage/Bru Instant/jpg,bru instant tea & coffee,yes
1516,Saffola Gold Oil ,Cooking Oil,1 Ltr,215,http://143.110.186.55:8080/vf-api/android/productImage/Saffola Gold Oil/jpg,saffola gold oil  cooking oil,yes
1517,Dhara Groundnut Oil,Cooking Oil,1 Ltr,225,http://143.110.186.55:8080/vf-api/android/productImage/Dhara cooking oil/jpg,dhara groundnut oil cooking oil,yes
1518,Kings Soyabean Refined Oil ,Cooking Oil,1 Ltr,190,http://143.110.186.55:8080/vf-api/android/productImage/Kings Soyabean Oil/jpg,kings soyabean refined oil  cooking oil,yes
1519,Gemini Mustard Oil,Cooking Oil,1 Ltr,230,http://143.110.186.55:8080/vf-api/android/productImage/gemini mustard oil/jpg,gemini mustard oil cooking oil,yes
1521,Fortune Sunflower Refined Oil ,Cooking Oil,1 ltr,190,http://143.110.186.55:8080/vf-api/android/productImage/Fortune Sunflower Refined Oil 1Ltr/jpg,fortune sunflower refined oil  cooking oil,yes
1522,Fortune Sunflower Refined Oil ,Cooking Oil,5 Ltrs,1075,http://143.110.186.55:8080/vf-api/android/productImage/Fortune Sunflower Refined Oil/jpg,fortune sunflower refined oil  cooking oil,yes
1523,Tulsi Ricebran Oil,Cooking Oil,1 Ltr,200,http://143.110.186.55:8080/vf-api/android/productImage/cooking-oil-250x250/png,tulsi ricebran oil cooking oil,yes
1524,Bajaj Almond Drops ,Hair Oil,100 ml,69,http://143.110.186.55:8080/vf-api/android/productImage/Bajaj Almond Drops/jpg,bajaj almond drops  hair oil,yes
1525,Parachute Jasmine Hair Oil,Hair Oil,90 ml,39,http://143.110.186.55:8080/vf-api/android/productImage/parachute Jasmine Hair oil/jfif,parachute jasmine hair oil hair oil,yes
1526,Bajaj Almond Drops ,Hair Oil,200 ml,133,http://143.110.186.55:8080/vf-api/android/productImage/Bajaj Almond Drops/jpg,bajaj almond drops  hair oil,yes
1528,Nihar Awla Hair Oil,Hair Oil,140 ml,37,http://143.110.186.55:8080/vf-api/android/productImage/Nihar Awla Hair oil/jpg,nihar awla hair oil hair oil,yes
1529,Parachute Hair Oil ,Hair Oil,175 ml,70,http://143.110.186.55:8080/vf-api/android/productImage/Parachute Hair Oil/jpg,parachute hair oil  hair oil,yes
1530,Kesh King Ayurvedic Hair Oil,Hair Oil,120 ml,170,http://143.110.186.55:8080/vf-api/android/productImage/Kesh King Ayurvedic Hair oil/jpeg,kesh king ayurvedic hair oil hair oil,yes
1531,Navaratna Hair Oil,Hair Oil,100 ml,80,http://143.110.186.55:8080/vf-api/android/productImage/Navartna Hair Oil/jpg,navaratna hair oil hair oil,yes
1533,Lux Soap (Pack of 5),Bath Soap,100 gm,140,http://143.110.186.55:8080/vf-api/android/productImage/Lux Soap/jpg,lux soap (pack of 5) bath soap,yes
1535,Park Avenue,Bath Soap,75 gm,25,http://143.110.186.55:8080/vf-api/android/productImage/Park Avenue/jpg,park avenue bath soap,yes
1536,Santoor Soap (Pack of 4),Bath Soap,100 gm,130,http://143.110.186.55:8080/vf-api/android/productImage/Santoor Soap/jpg,santoor soap (pack of 4) bath soap,yes
1537,Pears Soap (Pack of 4),Bath Soap,75 gm,129,http://143.110.186.55:8080/vf-api/android/productImage/Pears Soap/jpg,pears soap (pack of 4) bath soap,yes
1538,Dove Soap(Pack of 3 ),Bath Soap,1 pack,129,http://143.110.186.55:8080/vf-api/android/productImage/Dove Soap/jpg,dove soap(pack of 3 ) bath soap,yes
1539,Dettol (Pack of 4),Bath Soap,125 gm,229,http://143.110.186.55:8080/vf-api/android/productImage/Dettol Soap/jpg,dettol (pack of 4) bath soap,yes
1540,Dettol (Pack of 3),Bath Soap,75 gm,110,http://143.110.186.55:8080/vf-api/android/productImage/Dettol Soap/jpg,dettol (pack of 3) bath soap,yes
1541,Lifebuoy Soap(Pack of 4),Bath Soap,125 gm,115,http://143.110.186.55:8080/vf-api/android/productImage/Lifebuoy Soap/jpg,lifebuoy soap(pack of 4) bath soap,yes
1542,Medimix ( Pack of 3),Bath Soap,125 gm,125,http://143.110.186.55:8080/vf-api/android/productImage/Medimix Soap/jpg,medimix ( pack of 3) bath soap,yes
1543,Himalaya Baby soap,Bath Soap,75 gm,50,http://143.110.186.55:8080/vf-api/android/productImage/Hiomalaya Baby Soap/jpg,himalaya baby soap bath soap,yes
1544,Cinthol ( Pack of 4),Bath Soap,75 gm,122,http://143.110.186.55:8080/vf-api/android/productImage/Cinthol Soap/jpg,cinthol ( pack of 4) bath soap,yes
1545,Himalaya Neem And turmeric soap,Bath Soap,75 gm,30,http://143.110.186.55:8080/vf-api/android/productImage/Himalaya neem and turmeric soap/jpg,himalaya neem and turmeric soap bath soap,yes
1546,Cinthol ( Pack of 4),Bath Soap,100 gm,102,http://143.110.186.55:8080/vf-api/android/productImage/Cinthol/jpg,cinthol ( pack of 4) bath soap,yes
1547,Johnson Baby Soap ,Bath Soap,50 gm,36,http://143.110.186.55:8080/vf-api/android/productImage/Johnson Baby Soap/jpg,johnson baby soap  bath soap,yes
1548,Savlon Glycerin Soap,Bath Soap,125 gm,50,http://143.110.186.55:8080/vf-api/android/productImage/Savlon Soap/jpg,savlon glycerin soap bath soap,yes
1550,Colgate ,Toothbrush & Toothpaste,200 gm,103,http://143.110.186.55:8080/vf-api/android/productImage/Colgate 200gm/jpg,colgate  toothbrush & toothpaste,yes
1551,Colgate ,Toothbrush & Toothpaste,100 gm,56,http://143.110.186.55:8080/vf-api/android/productImage/Colgate 100gm/jpg,colgate  toothbrush & toothpaste,yes
1552,Colgate ,Toothbrush & Toothpaste,46 gm,20,http://143.110.186.55:8080/vf-api/android/productImage/Colgate 46gm/jpg,colgate  toothbrush & toothpaste,yes
1553,Colgate Supper Saver Pack,Toothbrush & Toothpaste,500 gm,217,http://143.110.186.55:8080/vf-api/android/productImage/Colgate 500gm/jpg,colgate supper saver pack toothbrush & toothpaste,yes
1554,Pepsodent,Toothbrush & Toothpaste,200 gm,90,http://143.110.186.55:8080/vf-api/android/productImage/Pepsodent-Toothpaste/jpg,pepsodent toothbrush & toothpaste,yes
1555,Pepsodent Toothpest,Toothbrush & Toothpaste,100 gm,47,http://143.110.186.55:8080/vf-api/android/productImage/Pepsodent-Toothpaste/jpg,pepsodent toothpest toothbrush & toothpaste,yes
1556,Colgate Maxfresh,Toothbrush & Toothpaste,84 gm,55,http://143.110.186.55:8080/vf-api/android/productImage/Colgate Maxfresh/jpg,colgate maxfresh toothbrush & toothpaste,yes
1557,Colgate Maxfresh,Toothbrush & Toothpaste,150 gm,99,http://143.110.186.55:8080/vf-api/android/productImage/Colgate Maxfresh/jpg,colgate maxfresh toothbrush & toothpaste,yes
1558,Patanjali Dant Kanti,Toothbrush & Toothpaste,200 gm,95,http://143.110.186.55:8080/vf-api/android/productImage/Patanjali Dant Kanti/jpg,patanjali dant kanti toothbrush & toothpaste,yes
1559,Dabur Meswak Toothpaste,Toothbrush & Toothpaste,200 gm,102,http://143.110.186.55:8080/vf-api/android/productImage/Dabur Meswak Toothpest/jfif,dabur meswak toothpaste toothbrush & toothpaste,yes
1560,Patanjali Dant Kanti,Toothbrush & Toothpaste,100 gm,50,http://143.110.186.55:8080/vf-api/android/productImage/Patanjali 100gm/jpg,patanjali dant kanti toothbrush & toothpaste,yes
1561,Dabur Meswak ,Toothbrush & Toothpaste,100 gm,58,http://143.110.186.55:8080/vf-api/android/productImage/Dabur Meswak Toothpest/jfif,dabur meswak  toothbrush & toothpaste,yes
1562,Sensodyne Fresh Gel,Toothbrush & Toothpaste,75 gm,115,http://143.110.186.55:8080/vf-api/android/productImage/Sensodyne Fresh Gel/jpg,sensodyne fresh gel toothbrush & toothpaste,yes
1563,Sensodyne Fresh Gel,Toothbrush & Toothpaste,150 gm,199,http://143.110.186.55:8080/vf-api/android/productImage/Sensodyne Fresh Gel/jpg,sensodyne fresh gel toothbrush & toothpaste,yes
1564,Close up Red Hot ,Toothbrush & Toothpaste,150 gm,90,http://143.110.186.55:8080/vf-api/android/productImage/Closeup Red Hot/jpg,close up red hot  toothbrush & toothpaste,yes
1565,Babool Super Saver pack,Toothbrush & Toothpaste,350 gm,100,http://143.110.186.55:8080/vf-api/android/productImage/babool toothpaste/jpg,babool super saver pack toothbrush & toothpaste,yes
1566,Babool,Toothbrush & Toothpaste,100 gm,30,http://143.110.186.55:8080/vf-api/android/productImage/babool toothpaste/jpg,babool toothbrush & toothpaste,yes
1567,Oral B Tooth Brush ,Toothbrush & Toothpaste,1 pcs,20,http://143.110.186.55:8080/vf-api/android/productImage/Oral B Brush/jpg,oral b tooth brush  toothbrush & toothpaste,yes
1568,Close up ,Toothbrush & Toothpaste,80 gm,50,http://143.110.186.55:8080/vf-api/android/productImage/Closeup Red Hot/jpg,close up  toothbrush & toothpaste,yes
1571,Everest Shahi biryani Masala,Spices,25 gm,36,http://143.110.186.55:8080/vf-api/android/productImage/Shahi biryani Masala/jpg,everest shahi biryani masala spices,yes
1572,Everest chhole Masala,Spices,50 gm,35,http://143.110.186.55:8080/vf-api/android/productImage/Everest chhole masala/jpg,everest chhole masala spices,yes
1573,Everest Samber masala,Spices,50 gm,34,http://143.110.186.55:8080/vf-api/android/productImage/sambar masala/jpg,everest samber masala spices,yes
1574,Everest Pavbhaji Masala,Spices,50 gm,37,http://143.110.186.55:8080/vf-api/android/productImage/Pav Bhaji Masala/jpg,everest pavbhaji masala spices,yes
1575,Everest Meat Masala,Spices,50 gm,39,http://143.110.186.55:8080/vf-api/android/productImage/Everest Meat Masala/jpg,everest meat masala spices,yes
1576,Everest Fish Curry Masala,Spices,50 gm,40,http://143.110.186.55:8080/vf-api/android/productImage/fish curry masala/jpg,everest fish curry masala spices,yes
1577,Everest Kasuri Methi,Spices,25 gm,25,http://143.110.186.55:8080/vf-api/android/productImage/kasuri methi/jfif,everest kasuri methi spices,yes
1578,Everest Chicken Masala,Spices,50 gm,39,http://143.110.186.55:8080/vf-api/android/productImage/chicken masala/jpg,everest chicken masala spices,yes
1579,Sargam Soap,Cloth Wash,25 gm,10,http://143.110.186.55:8080/vf-api/android/productImage/Sargam Soap/jpg,sargam soap cloth wash,yes
1580,Everest Shahi Paneer Masala,Spices,50 gm,44,http://143.110.186.55:8080/vf-api/android/productImage/Everest Shahi Paneer Masala/jpg,everest shahi paneer masala spices,yes
1581,Suhana Matar Paneer Mix,Spices,50 gm,40,http://143.110.186.55:8080/vf-api/android/productImage/mater paneer mix/jpg,suhana matar paneer mix spices,yes
